PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Justin Anderson,BKN,26,6'5,231,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Justin Jackson,DAL,25,6'7,220,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Justin Patton,DET,23,6'11,241,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
Justise Winslow,MEM,24,6'6,222,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
KZ Okpala,MIA,21,6'8,215,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Kadeem Allen,NYK,27,6'1,200,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Kawhi Leonard,LAC,29,6'7,225,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Keldon Johnson,SAS,20,6'5,220,SG,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Kelly Olynyk,MIA,29,6'11,240,PF-C,6.65%,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75''
Kemba Walker,BOS,30,6'0,184,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5''
Kenrich Williams,NOP,25,6'6,210,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Kevin Hervey,OKC,23,6'9,230,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Kevin Huerter,ATL,21,6'7,190,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Kevin Love,CLE,31,6'8,251,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25''
Kevin Porter Jr.,CLE,20,6'4,203,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
Kevon Looney,GSW,24,6'9,222,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Khem Birch,ORL,27,6'9,233,PF,6.00%,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Khris Middleton,MIL,28,6'7,222,SF,7.80%,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Khyri Thomas,DET,24,6'3,210,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kostas Antetokounmpo,LAL,22,6'10,200,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Kris Dunn,CHI,26,6'3,205,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5''
Ky Bowman,GSW,23,6'1,187,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Kyle Anderson,MEM,26,6'9,230,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Kyle Guy,SAC,22,6'1,167,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Kyle Korver,MIL,39,6'7,212,SF,6.70%,-,-,6' 6.25'',,8' 6.5'',211,6' 9.5''
Kyle Kuzma,LAL,24,6'8,221,SF-SG,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
Kyle O'Quinn,PHI,30,6'9,250,PF,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Kyrie Irving,BKN,28,6'2,195,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4''
LaMarcus Aldridge,SAS,34,6'11,250,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Landry Shamet,LAC,23,6'4,190,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
LeBron James,LAL,35,6'9,250,SF-SG,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25''
Louis King,DET,21,6'7,205,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Luguentz Dort,OKC,21,6'3,215,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Luka Samanic,SAS,20,6'10,227,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Luke Kennard,DET,24,6'5,206,SG-SF,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Malcolm Brogdon,IND,27,6'5,229,SG,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5''
Malik Beasley,MIN,23,6'4,187,SG,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Malik Newman,CLE,23,6'3,190,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
